LGA,lga_pid,population,active,cases,rate,new,band,LGADisplay,data_date,file_processed_date
Alpine (S),VIC242,12814,0,1,0,0,0,Alpine,29/07/2021,30/07/2021
Ararat (RC),VIC220,11845,0,6,0,0,0,Ararat,29/07/2021,30/07/2021
Ballarat (C),VIC241,109505,0,58,0,0,0,Ballarat,29/07/2021,30/07/2021
Banyule (C),VIC188,131631,5,458,3.8,0,1,Banyule,29/07/2021,30/07/2021
Bass Coast (S),VIC173,36320,0,10,0,0,0,Bass Coast,29/07/2021,30/07/2021
Baw Baw (S),VIC194,53396,2,18,3.7,0,1,Baw Baw,29/07/2021,30/07/2021
Bayside (C),VIC182,106862,3,268,2.8,0,1,Bayside,29/07/2021,30/07/2021
Benalla (RC),VIC199,14037,0,4,0,0,0,Benalla,29/07/2021,30/07/2021
Boroondara (C),VIC201,183199,30,305,16.4,0,1,Boroondara,29/07/2021,30/07/2021
Brimbank (C),VIC189,209523,9,2046,4.3,0,1,Brimbank,29/07/2021,30/07/2021
Buloke (S),VIC183,6124,0,0,0,0,0,Buloke,29/07/2021,30/07/2021
Campaspe (S),VIC239,37622,0,10,0,0,0,Campaspe,29/07/2021,30/07/2021
Cardinia (S),VIC212,112159,0,201,0,0,0,Cardinia,29/07/2021,30/07/2021
Casey (C),VIC213,353872,6,1076,1.7,0,1,Casey,29/07/2021,30/07/2021
Central Goldfields (S),VIC169,13186,0,2,0,0,0,Central Goldfields,29/07/2021,30/07/2021
Colac-Otway (S),VIC224,21564,0,136,0,0,0,Colac-Otway,29/07/2021,30/07/2021
Corangamite (S),VIC231,16020,0,4,0,0,0,Corangamite,29/07/2021,30/07/2021
Darebin (C),VIC205,164184,3,694,1.8,1,1,Darebin,29/07/2021,30/07/2021
East Gippsland (S),VIC243,47316,0,8,0,0,0,East Gippsland,29/07/2021,30/07/2021
Frankston (C),VIC227,142643,2,244,1.4,0,1,Frankston,29/07/2021,30/07/2021
Gannawarra (S),VIC214,10472,0,2,0,0,0,Gannawarra,29/07/2021,30/07/2021
Glen Eira (C),VIC177,156511,16,251,10.2,0,1,Glen Eira,29/07/2021,30/07/2021
Glenelg (S),VIC223,19674,0,19,0,0,0,Glenelg,29/07/2021,30/07/2021
Golden Plains (S),VIC230,23722,0,19,0,0,0,Golden Plains,29/07/2021,30/07/2021
Greater Bendigo (C),VIC193,118093,1,102,0.8,0,1,Greater Bendigo,29/07/2021,30/07/2021
Greater Dandenong (C),VIC247,168201,0,547,0,0,0,Greater Dandenong,29/07/2021,30/07/2021
Greater Geelong (C),VIC215,258934,5,373,1.9,1,1,Greater Geelong,29/07/2021,30/07/2021
Greater Shepparton (C),VIC93,66498,0,53,0,0,0,Greater Shepparton,29/07/2021,30/07/2021
Hepburn (S),VIC94,15975,0,2,0,0,0,Hepburn,29/07/2021,30/07/2021
Hindmarsh (S),VIC152,5588,0,0,0,0,0,Hindmarsh,29/07/2021,30/07/2021
Hobsons Bay (C),VIC235,97751,4,520,4.1,0,1,Hobsons Bay,29/07/2021,30/07/2021
Horsham (RC),VIC153,19921,0,14,0,0,0,Horsham,29/07/2021,30/07/2021
Hume (C),VIC198,233471,19,1682,8.1,0,1,Hume,29/07/2021,30/07/2021
Indigo (S),VIC191,16701,0,1,0,0,0,Indigo,29/07/2021,30/07/2021
Kingston (C),VIC226,165782,1,305,0.6,0,1,Kingston,29/07/2021,30/07/2021
Knox (C),VIC209,164538,0,165,0,0,0,Knox,29/07/2021,30/07/2021
Latrobe (C),VIC219,75561,0,53,0,0,0,Latrobe,29/07/2021,30/07/2021
Loddon (S),VIC185,7504,0,5,0,0,0,Loddon,29/07/2021,30/07/2021
Macedon Ranges (S),VIC228,50231,1,60,2,0,1,Macedon Ranges,29/07/2021,30/07/2021
Manningham (C),VIC195,127573,1,164,0.8,0,1,Manningham,29/07/2021,30/07/2021
Mansfield (S),VIC244,9176,0,10,0,0,0,Mansfield,29/07/2021,30/07/2021
Maribyrnong (C),VIC234,93448,2,588,2.1,0,1,Maribyrnong,29/07/2021,30/07/2021
Maroondah (C),VIC207,118558,1,114,0.8,0,1,Maroondah,29/07/2021,30/07/2021
Melbourne (C),VIC132,178955,5,920,2.8,0,1,Melbourne,29/07/2021,30/07/2021
Melton (C),VIC237,164895,2,1149,1.2,0,1,Melton,29/07/2021,30/07/2021
Mildura (RC),VIC222,55777,4,11,7.2,0,1,Mildura,29/07/2021,30/07/2021
Mitchell (S),VIC211,46082,0,90,0,0,0,Mitchell,29/07/2021,30/07/2021
Moira (S),VIC190,29925,0,11,0,0,0,Moira,29/07/2021,30/07/2021
Monash (C),VIC210,202847,7,351,3.5,0,1,Monash,29/07/2021,30/07/2021
Moonee Valley (C),VIC121,130294,5,831,3.8,0,1,Moonee Valley,29/07/2021,30/07/2021
Moorabool (S),VIC236,35049,11,49,31.4,0,2,Moorabool,29/07/2021,30/07/2021
Moreland (C),VIC131,185767,0,1059,0,0,0,Moreland,29/07/2021,30/07/2021
Mornington Peninsula (S),VIC204,167636,0,184,0,0,0,Mornington Peninsula,29/07/2021,30/07/2021
Mount Alexander (S),VIC105,19754,0,9,0,0,0,Mount Alexander,29/07/2021,30/07/2021
Moyne (S),VIC229,16953,0,2,0,0,0,Moyne,29/07/2021,30/07/2021
Murrindindi (S),VIC250,14570,0,9,0,0,0,Murrindindi,29/07/2021,30/07/2021
Nillumbik (S),VIC216,65094,3,146,4.6,0,1,Nillumbik,29/07/2021,30/07/2021
Northern Grampians (S),VIC166,11402,0,3,0,0,0,Northern Grampians,29/07/2021,30/07/2021
Other,,,0,190,0,0,0,,29/07/2021,30/07/2021
Overseas Traveller,,,10,228,0,0,0,,29/07/2021,30/07/2021
Port Phillip (C),VIC208,115601,8,321,6.9,0,1,Port Phillip,29/07/2021,30/07/2021
Pyrenees (S),VIC217,7472,0,3,0,0,0,Pyrenees,29/07/2021,30/07/2021
Queenscliffe (B),VIC238,2940,0,1,0,0,0,Queenscliffe,29/07/2021,30/07/2021
South Gippsland (S),VIC178,29914,0,14,0,0,0,South Gippsland,29/07/2021,30/07/2021
Southern Grampians (S),VIC233,16100,0,2,0,0,0,Southern Grampians,29/07/2021,30/07/2021
Stonnington (C),VIC203,117768,2,264,1.7,0,1,Stonnington,29/07/2021,30/07/2021
Strathbogie (S),VIC110,10781,0,2,0,0,0,Strathbogie,29/07/2021,30/07/2021
Surf Coast (S),VIC225,33456,0,13,0,0,0,Surf Coast,29/07/2021,30/07/2021
Swan Hill (RC),VIC180,20649,0,6,0,0,0,Swan Hill,29/07/2021,30/07/2021
Towong (S),VIC187,6040,0,0,0,0,0,Towong,29/07/2021,30/07/2021
Wangaratta (RC),VIC186,29187,0,2,0,0,0,Wangaratta,29/07/2021,30/07/2021
Warrnambool (C),VIC179,35181,0,13,0,0,0,Warrnambool,29/07/2021,30/07/2021
Wellington (S),VIC218,44380,3,20,6.8,0,1,Wellington,29/07/2021,30/07/2021
West Wimmera (S),VIC232,3841,0,1,0,0,0,West Wimmera,29/07/2021,30/07/2021
Whitehorse (C),VIC196,178739,2,220,1.1,0,1,Whitehorse,29/07/2021,30/07/2021
Whittlesea (C),VIC197,230238,0,1230,0,0,0,Whittlesea,29/07/2021,30/07/2021
Wodonga (RC),VIC192,42083,0,0,0,0,0,Wodonga,29/07/2021,30/07/2021
Wyndham (C),VIC221,270487,13,2268,4.8,0,1,Wyndham,29/07/2021,30/07/2021
Yarra (C),VIC202,101495,14,474,13.8,1,1,Yarra,29/07/2021,30/07/2021
Yarra Ranges (S),VIC206,159462,0,247,0,0,0,Yarra Ranges,29/07/2021,30/07/2021
Yarriambiack (S),VIC200,6639,0,1,0,0,0,Yarriambiack,29/07/2021,30/07/2021